"Year","Subject group HECoS CAH1","Age group","Domicile","Gender","Applications"
"2021","(CAH13) architecture, building and planning","20","Not EU","All","710"
"2022","(CAH13) architecture, building and planning","20","Not EU","All","830"
"2023","(CAH13) architecture, building and planning","20","Not EU","All","910"
"2024","(CAH13) architecture, building and planning","20","Not EU","All","970"
"2025","(CAH13) architecture, building and planning","20","Not EU","All","660"
"2026","(CAH13) architecture, building and planning","20","Not EU","All","550"
"2019","(CAH01) medicine and dentistry","20","Not EU","All","1180"
"2020","(CAH01) medicine and dentistry","20","Not EU","All","1260"
"2021","(CAH01) medicine and dentistry","20","Not EU","All","1270"
"2022","(CAH01) medicine and dentistry","20","Not EU","All","1330"
"2023","(CAH01) medicine and dentistry","20","Not EU","All","1530"
"2024","(CAH01) medicine and dentistry","20","Not EU","All","1540"
"2025","(CAH01) medicine and dentistry","20","Not EU","All","1390"
"2026","(CAH01) medicine and dentistry","20","Not EU","All","1420"
"2019","(CAH20) historical, philosophical and religious studies","20","Not EU","All","740"
"2020","(CAH20) historical, philosophical and religious studies","20","Not EU","All","710"
"2021","(CAH20) historical, philosophical and religious studies","20","Not EU","All","760"
"2022","(CAH20) historical, philosophical and religious studies","20","Not EU","All","820"
"2023","(CAH20) historical, philosophical and religious studies","20","Not EU","All","900"
"2024","(CAH20) historical, philosophical and religious studies","20","Not EU","All","810"
"2025","(CAH20) historical, philosophical and religious studies","20","Not EU","All","730"
"2026","(CAH20) historical, philosophical and religious studies","20","Not EU","All","650"
"2019","(CAH11) computing","20","Not EU","All","2130"
"2020","(CAH11) computing","20","Not EU","All","2590"
"2021","(CAH11) computing","20","Not EU","All","2970"
"2022","(CAH11) computing","20","Not EU","All","3830"
"2023","(CAH11) computing","20","Not EU","All","4320"
"2024","(CAH11) computing","20","Not EU","All","4390"
"2025","(CAH11) computing","20","Not EU","All","3580"
"2026","(CAH11) computing","20","Not EU","All","3940"
"2019","(CAH26) geography, earth and environmental studies","20","Not EU","All","360"
"2020","(CAH26) geography, earth and environmental studies","20","Not EU","All","380"
"2021","(CAH26) geography, earth and environmental studies","20","Not EU","All","390"
"2022","(CAH26) geography, earth and environmental studies","20","Not EU","All","460"
"2023","(CAH26) geography, earth and environmental studies","20","Not EU","All","620"
"2024","(CAH26) geography, earth and environmental studies","20","Not EU","All","520"
"2025","(CAH26) geography, earth and environmental studies","20","Not EU","All","490"
"2026","(CAH26) geography, earth and environmental studies","20","Not EU","All","450"
"2019","(CAH07) physical sciences","20","Not EU","All","650"
"2020","(CAH07) physical sciences","20","Not EU","All","860"
"2021","(CAH07) physical sciences","20","Not EU","All","910"
"2022","(CAH07) physical sciences","20","Not EU","All","920"
"2023","(CAH07) physical sciences","20","Not EU","All","1070"
"2024","(CAH07) physical sciences","20","Not EU","All","1100"
"2025","(CAH07) physical sciences","20","Not EU","All","1020"
"2026","(CAH07) physical sciences","20","Not EU","All","940"
"2019","(CAH04) psychology","20","Not EU","All","950"
"2020","(CAH04) psychology","20","Not EU","All","970"
"2021","(CAH04) psychology","20","Not EU","All","1240"
"2022","(CAH04) psychology","20","Not EU","All","1270"
"2023","(CAH04) psychology","20","Not EU","All","1360"
"2024","(CAH04) psychology","20","Not EU","All","1150"
"2025","(CAH04) psychology","20","Not EU","All","1130"
"2026","(CAH04) psychology","20","Not EU","All","1080"
"2019","(CAH09) mathematical sciences","20","Not EU","All","1130"
"2020","(CAH09) mathematical sciences","20","Not EU","All","1480"
"2021","(CAH09) mathematical sciences","20","Not EU","All","1720"
"2022","(CAH09) mathematical sciences","20","Not EU","All","2160"
"2023","(CAH09) mathematical sciences","20","Not EU","All","1970"
"2024","(CAH09) mathematical sciences","20","Not EU","All","1800"
"2025","(CAH09) mathematical sciences","20","Not EU","All","1670"
"2026","(CAH09) mathematical sciences","20","Not EU","All","1580"
"2019","(CAH22) education and teaching","20","Not EU","All","210"
"2020","(CAH22) education and teaching","20","Not EU","All","320"
"2021","(CAH22) education and teaching","20","Not EU","All","420"
"2022","(CAH22) education and teaching","20","Not EU","All","520"
"2023","(CAH22) education and teaching","20","Not EU","All","390"
"2024","(CAH22) education and teaching","20","Not EU","All","330"
"2025","(CAH22) education and teaching","20","Not EU","All","320"
"2026","(CAH22) education and teaching","20","Not EU","All","190"
"2019","(CAH06) agriculture, food and related studies","20","Not EU","All","110"
"2020","(CAH06) agriculture, food and related studies","20","Not EU","All","110"
"2021","(CAH06) agriculture, food and related studies","20","Not EU","All","120"
"2022","(CAH06) agriculture, food and related studies","20","Not EU","All","120"
"2023","(CAH06) agriculture, food and related studies","20","Not EU","All","120"
"2024","(CAH06) agriculture, food and related studies","20","Not EU","All","130"
"2025","(CAH06) agriculture, food and related studies","20","Not EU","All","110"
"2026","(CAH06) agriculture, food and related studies","20","Not EU","All","110"
"2019","(CAH16) law","20","Not EU","All","2820"
"2020","(CAH16) law","20","Not EU","All","2740"
"2021","(CAH16) law","20","Not EU","All","3240"
"2022","(CAH16) law","20","Not EU","All","3060"
"2023","(CAH16) law","20","Not EU","All","3110"
"2024","(CAH16) law","20","Not EU","All","2880"
"2025","(CAH16) law","20","Not EU","All","2970"
"2026","(CAH16) law","20","Not EU","All","3010"
"2019","(CAH05) veterinary sciences","20","Not EU","All","120"
"2020","(CAH05) veterinary sciences","20","Not EU","All","100"
"2021","(CAH05) veterinary sciences","20","Not EU","All","120"
"2022","(CAH05) veterinary sciences","20","Not EU","All","130"
"2023","(CAH05) veterinary sciences","20","Not EU","All","70"
"2024","(CAH05) veterinary sciences","20","Not EU","All","130"
"2025","(CAH05) veterinary sciences","20","Not EU","All","150"
"2026","(CAH05) veterinary sciences","20","Not EU","All","130"
"2019","Unassigned","21 - 24","Not EU","All","20"
"2020","Unassigned","21 - 24","Not EU","All","0"
"2021","Unassigned","21 - 24","Not EU","All","0"
"2022","Unassigned","21 - 24","Not EU","All","0"
"2023","Unassigned","21 - 24","Not EU","All","0"
"2024","Unassigned","21 - 24","Not EU","All","0"
"2025","Unassigned","21 - 24","Not EU","All","0"
"2026","Unassigned","21 - 24","Not EU","All","0"
"2019","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","3440"
"2020","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","3580"
"2021","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","3280"
"2022","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","4810"
"2023","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","4980"
"2024","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","4420"
"2025","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","4150"
"2026","(CAH25) design, and creative and performing arts","21 - 24","Not EU","All","3560"
"2019","(CAH10) engineering and technology","21 - 24","Not EU","All","2650"
"2020","(CAH10) engineering and technology","21 - 24","Not EU","All","2320"
"2021","(CAH10) engineering and technology","21 - 24","Not EU","All","2330"
"2022","(CAH10) engineering and technology","21 - 24","Not EU","All","3150"
"2023","(CAH10) engineering and technology","21 - 24","Not EU","All","3560"
"2024","(CAH10) engineering and technology","21 - 24","Not EU","All","3230"
"2025","(CAH10) engineering and technology","21 - 24","Not EU","All","3140"
"2026","(CAH10) engineering and technology","21 - 24","Not EU","All","3180"
"2019","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","2360"
"2020","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","2420"
"2021","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","3200"
"2022","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","4300"
"2023","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","5030"
"2024","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","4770"
"2025","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","4970"
"2026","(CAH02) subjects allied to medicine","21 - 24","Not EU","All","5150"
"2019","(CAH19) language and area studies","21 - 24","Not EU","All","580"
"2020","(CAH19) language and area studies","21 - 24","Not EU","All","570"
"2021","(CAH19) language and area studies","21 - 24","Not EU","All","630"
"2022","(CAH19) language and area studies","21 - 24","Not EU","All","710"
"2023","(CAH19) language and area studies","21 - 24","Not EU","All","740"
"2024","(CAH19) language and area studies","21 - 24","Not EU","All","720"
"2025","(CAH19) language and area studies","21 - 24","Not EU","All","620"
"2026","(CAH19) language and area studies","21 - 24","Not EU","All","630"
"2019","(CAH24) media, journalism and communications","21 - 24","Not EU","All","660"
"2020","(CAH24) media, journalism and communications","21 - 24","Not EU","All","740"
"2021","(CAH24) media, journalism and communications","21 - 24","Not EU","All","860"
"2022","(CAH24) media, journalism and communications","21 - 24","Not EU","All","1200"
"2023","(CAH24) media, journalism and communications","21 - 24","Not EU","All","1200"
"2024","(CAH24) media, journalism and communications","21 - 24","Not EU","All","890"
"2025","(CAH24) media, journalism and communications","21 - 24","Not EU","All","1010"
"2026","(CAH24) media, journalism and communications","21 - 24","Not EU","All","910"
"2019","(CAH23) combined and general studies","21 - 24","Not EU","All","130"
"2020","(CAH23) combined and general studies","21 - 24","Not EU","All","140"
"2021","(CAH23) combined and general studies","21 - 24","Not EU","All","160"
"2022","(CAH23) combined and general studies","21 - 24","Not EU","All","180"
"2023","(CAH23) combined and general studies","21 - 24","Not EU","All","210"
"2024","(CAH23) combined and general studies","21 - 24","Not EU","All","170"
"2025","(CAH23) combined and general studies","21 - 24","Not EU","All","140"
"2026","(CAH23) combined and general studies","21 - 24","Not EU","All","160"
"2019","(CAH17) business and management","21 - 24","Not EU","All","5990"
"2020","(CAH17) business and management","21 - 24","Not EU","All","6190"
"2021","(CAH17) business and management","21 - 24","Not EU","All","6890"
"2022","(CAH17) business and management","21 - 24","Not EU","All","8840"
"2023","(CAH17) business and management","21 - 24","Not EU","All","10230"
"2024","(CAH17) business and management","21 - 24","Not EU","All","8610"
"2025","(CAH17) business and management","21 - 24","Not EU","All","6720"
"2026","(CAH17) business and management","21 - 24","Not EU","All","7710"
"2019","(CAH15) social sciences","21 - 24","Not EU","All","2550"
"2020","(CAH15) social sciences","21 - 24","Not EU","All","2700"
"2021","(CAH15) social sciences","21 - 24","Not EU","All","3330"
"2022","(CAH15) social sciences","21 - 24","Not EU","All","3990"
